0 0,5495 0
517 0,9995 0,9525
518 0,9995 0,9525
519 0,9995 0,9525
520 0,9995 0,9525
521 0,9995 0,9525
522 0,9995 0,9525
523 0,9995 0,9525
524 0,9995 0,9525
525 0,9995 0,9525
526 0,9995 0,9525
527 0,9995 0,9525
528 0,9995 0,9525
529 0,999 0,9525
530 0,9985 0,9525
531 0,9995 0,9525
532 0,9995 0,9525
533 0,999 0,9525
534 0,9995 0,9525
535 0,9975 0,9525
536 0,9995 0,9525
537 0,9995 0,9525
538 0,9995 0,9525
539 0,9995 0,9525
540 0,9995 0,9525
541 0,9985 0,9525
542 0,9995 0,9525
543 0,999 0,9525
544 0,9995 0,9525
545 0,9985 0,9525
546 0,9995 0,9525
547 0,9995 0,9525
548 1 0,9525
549 1 0,9525
550 1 0,9525
551 1 0,9525
552 1 0,9525
553 1 0,9525
554 1 0,9525
555 1 0,9525
556 1 0,9525
557 1 0,9525
558 1 0,9525
559 1 0,9525
560 1 0,9525
561 1 0,9525
562 1 0,9525
563 1 0,9525
564 1 0,9525
565 1 0,9525
566 1 0,9525
567 1 0,9525
568 1 0,9525
569 1 0,9525
570 1 0,9525
571 1 0,9525
572 1 0,9525
573 1 0,9525
574 1 0,9525
575 1 0,9525
576 1 0,9525
577 1 0,9525
578 1 0,9525
579 1 0,9525
580 1 0,9525
581 1 0,9525
582 1 0,9525
583 1 0,9525
584 1 0,9525
585 1 0,9525
586 1 0,9525
587 1 0,9525
588 1 0,9525
589 1 0,9525
590 1 0,9525
591 1 0,9525
592 1 0,9525
593 1 0,9525
594 1 0,9525
595 1 0,9525
596 1 0,9525
597 1 0,9525
598 1 0,9525
599 1 0,9525
600 1 0,9525
601 1 0,9525
602 1 0,9525
603 1 0,9525
604 1 0,9525
605 1 0,9525
606 1 0,9525
607 1 0,9525
608 1 0,9525
609 1 0,9525
610 1 0,9525
611 1 0,9525
612 1 0,9525
613 1 0,9525
614 1 0,9525
615 1 0,9525
616 1 0,9525
617 1 0,9525
618 1 0,9525
619 1 0,9525
620 1 0,9525
621 1 0,9525
622 1 0,9525
623 1 0,9525
624 1 0,9525
625 1 0,9525
626 1 0,9525
627 1 0,9525
628 1 0,9525
629 1 0,9525
630 1 0,9525
631 1 0,9525
632 1 0,9525
633 1 0,9525
634 1 0,9525
635 1 0,9525
636 1 0,9525
637 1 0,9525
638 1 0,9525
639 1 0,9525
640 1 0,9525
641 1 0,9525
642 1 0,9525
643 1 0,9525
644 1 0,9525
645 1 0,9525
646 1 0,9525
647 1 0,9525
648 1 0,9525
649 1 0,9525
650 1 0,9525
651 1 0,9525
652 1 0,9525
653 1 0,9525
654 1 0,9525
655 1 0,9525
656 1 0,9525
657 1 0,9525
658 1 0,9525
659 1 0,9525
660 1 0,9525
661 1 0,9525
662 1 0,9525
663 1 0,9525
664 1 0,9525
665 1 0,9525
666 1 0,9525
667 1 0,9525
668 1 0,9525
669 1 0,9525
670 1 0,9525
671 1 0,9525
672 1 0,9525
673 1 0,9525
674 1 0,9525
675 1 0,9525
676 1 0,9525
677 1 0,9525
678 1 0,9525
679 1 0,9525
680 1 0,9525
681 1 0,9525
682 1 0,9525
683 1 0,9525
684 1 0,9525
685 1 0,9525
686 1 0,9525
687 1 0,9525
688 1 0,9525
689 1 0,9525
690 1 0,9525
691 1 0,9525
692 1 0,9525
693 1 0,9525
694 1 0,9525
695 1 0,9525
696 1 0,9525
697 1 0,9525
698 1 0,9525
699 1 0,9525
700 1 0,9525
701 1 0,9525
702 1 0,9525
703 1 0,9525
704 1 0,9525
705 1 0,9525
706 1 0,9525
707 1 0,9525
708 1 0,9525
709 1 0,9525
710 1 0,9525
711 1 0,9525
712 1 0,9525
713 1 0,9525
714 1 0,9525
715 1 0,9525
716 1 0,9525
717 1 0,9525
718 1 0,9525
719 1 0,9525
720 1 0,9525
721 1 0,9525
722 1 0,9525
723 1 0,9525
724 1 0,9525
725 1 0,9525
726 1 0,9525
727 1 0,9525
728 1 0,9525
729 1 0,9525
730 1 0,9525
731 1 0,9525
732 1 0,9525
733 1 0,9525
734 1 0,9525
735 1 0,9525
